station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Battlesbridge,East of England,Greater Anglia,BLB,22560,9460,9038,4062,0,2254
Mobberley,North West,Northern Trains,MOB,22512,5618,12036,4858,0,2255
Narberth,Wales,TfW Rail,NAR,22492,6308,16158,26,0,2256
Normans Bay,South East,Govia Thameslink Railway (Southern),NSB,22490,6768,13992,1730,0,2257
Garth (Bridgend County),Wales,TfW Rail,GMG,22396,17812,1290,3294,0,2258
Upton (Merseyside),North West,TfW Rail,UPT,22192,15786,3558,2848,0,2259
Park Street,East of England,West Midlands Trains (London Northwestern Railway),PKT,22170,5574,14228,2368,0,2260
Darnall,Yorkshire and The Humber,Northern Trains,DAN,22132,7114,13242,1776,0,2261
Swinderby,East Midlands,East Midlands Railway,SWD,22092,16938,2606,2548,0,2262
Invergowrie,Scotland,ScotRail,ING,22066,14938,2974,4154,0,2263
Dyffryn Ardudwy,Wales,TfW Rail,DYF,21934,9916,9888,2130,0,2264
Maiden Newton,South West,Great Western Railway,MDN,21882,6270,15390,222,0,2265
Morchard Road,South West,Great Western Railway,MRD,21854,13346,4440,4068,0,2266
Westerfield,East of England,Greater Anglia,WFI,21666,10730,9766,1170,5891,2267
Valley,Wales,TfW Rail,VAL,21588,9732,8536,3320,0,2268
Dilton Marsh,South West,Great Western Railway,DMH,21574,8526,8100,4948,0,2269
Roughton Road,East of England,Greater Anglia,RNR,21340,9096,10206,2038,0,2270
Middlewood,North West,Northern Trains,MDL,21278,3962,15344,1972,0,2271
Monks Risborough,South East,Chiltern Railways,MRS,20538,7602,3510,9426,0,2272
Corrour,Scotland,ScotRail,CRR,20500,14418,6082,0,0,2273
Alness,Scotland,ScotRail,ASS,20482,16826,2902,754,0,2274
Arrochar and Tarbet,Scotland,ScotRail,ART,20438,16536,3412,490,0,2275
Cantley,East of England,Greater Anglia,CNY,20390,5324,8876,6190,0,2276
Langwathby,North West,Northern Trains,LGW,20288,1902,18064,322,0,2277
Entwistle,North West,Northern Trains,ENT,19988,2188,15936,1864,0,2278
Yeoford,South West,Great Western Railway,YEO,19890,14412,3258,2220,0,2279
Beaulieu Road,South East,South Western Railway,BEU,19838,2120,17522,196,0,2280
Lake,South East,South Western Railway (Island Line),LKE,19744,3922,14584,1238,0,2281
Penmaenmawr,Wales,TfW Rail,PMW,19668,7264,11078,1326,0,2282
Wilmcote,West Midlands,West Midlands Trains (West Midlands Railway),WMC,19570,6690,11490,1390,0,2283
Glaisdale,Yorkshire and The Humber,Northern Trains,GLS,19420,490,4738,14192,0,2284
Wootton Wawen,West Midlands,West Midlands Trains (West Midlands Railway),WWW,19398,4476,11464,3458,0,2285
Winchelsea,South East,Govia Thameslink Railway (Southern),WSE,19260,3394,12246,3620,0,2286
Knighton,West Midlands,TfW Rail,KNI,19208,9682,9026,500,0,2287
Kirkconnel,Scotland,ScotRail,KRK,18724,5986,11680,1058,0,2288
Connel Ferry,Scotland,ScotRail,CON,18594,3676,2424,12494,0,2289
Plumley,North West,Northern Trains,PLM,18548,6120,12306,122,0,2290
Lazonby and Kirkoswald,North West,Northern Trains,LZB,18548,2346,13412,2790,0,2290
Addiewell,Scotland,ScotRail,ADW,18496,7566,8764,2166,0,2292
Glenfinnan,Scotland,ScotRail,GLF,18274,11102,7172,0,0,2293
Fishguard and Goodwick,Wales,TfW Rail,FGW,18262,3124,15096,42,0,2294
Long Preston,Yorkshire and The Humber,Northern Trains,LPR,18214,3948,12790,1476,460,2295
Minffordd,Wales,TfW Rail,MFF,18174,3954,4132,10088,0,2296
Thorntonhall,Scotland,ScotRail,THT,18166,7752,9458,956,0,2297
Pontefract Baghill,Yorkshire and The Humber,Northern Trains,PFR,18130,4370,12414,1346,0,2298
Brundall Gardens,East of England,Greater Anglia,BGA,17886,6588,9818,1480,0,2299
The Lakes (Warks),West Midlands,West Midlands Trains (West Midlands Railway),TLK,17778,5604,7116,5058,0,2300
Garelochhead,Scotland,ScotRail,GCH,17740,11558,6080,102,0,2301
Ridgmont,East of England,West Midlands Trains (London Northwestern Railway),RID,17682,8934,5446,3302,0,2302
Maesteg (Ewenny Road),Wales,TfW Rail,MEW,17476,13654,1400,2422,0,2303
Kilgetty,Wales,TfW Rail,KGT,17452,5192,12010,250,0,2304
Flimby,North West,Northern Trains,FLM,17316,3472,10214,3630,0,2305
Ardrossan Town,Scotland,ScotRail,ADN,17108,4974,10110,2024,0,2306
Brading,South East,South Western Railway (Island Line),BDN,17080,3256,12130,1694,0,2307
Garsdale,North West,Northern Trains,GSD,17054,2968,14086,0,0,2308
Kemsing,South East,Southeastern,KMS,16834,6846,4866,5122,0,2309
Lidlington,East of England,West Midlands Trains (London Northwestern Railway),LID,16576,6522,5874,4180,0,2310
Ulleskelf,Yorkshire and The Humber,Northern Trains,ULL,16502,3406,11292,1804,0,2311
Ferryside,Wales,TfW Rail,FYS,16476,5128,10690,658,0,2312
Blair Atholl,Scotland,ScotRail,BLA,16446,8368,7886,192,0,2313
Crianlarich,Scotland,ScotRail,CNR,16156,10618,5538,0,4000,2314
Keyham,South West,Great Western Railway,KEY,16126,6844,6066,3216,0,2315
Wick,Scotland,ScotRail,WCK,16046,9892,5654,500,0,2316
Brampton (Cumbria),North West,Northern Trains,BMP,15976,1568,14312,96,0,2317
Llandeilo,Wales,TfW Rail,LLL,15906,8654,7242,10,0,2318
Wood End,West Midlands,West Midlands Trains (West Midlands Railway),WDE,15744,5188,4722,5834,0,2319
Newsham,North East,Northern Trains,NWH,15576,1832,12688,1056,0,2320
Giggleswick,Yorkshire and The Humber,Northern Trains,GIG,15486,3536,10766,1184,0,2321
Grosmont,Yorkshire and The Humber,Northern Trains,GMT,15484,988,10858,3638,0,2322
Three Oaks,South East,Govia Thameslink Railway (Southern),TOK,15482,3734,7978,3770,0,2323
Belle Vue,North West,Northern Trains,BLV,15288,3718,7656,3914,0,2324
Hartwood,Scotland,ScotRail,HTW,15140,5480,7524,2136,0,2325
Dockyard (Devonport),South West,Great Western Railway,DOC,15102,6498,5544,3060,0,2326
Haddiscoe,East of England,Greater Anglia,HAD,14758,5752,7296,1710,0,2327
Caergwrle,Wales,TfW Rail,CGW,14738,11860,2070,808,0,2328
Crowle,Yorkshire and The Humber,Northern Trains,CWE,14622,4706,7126,2790,0,2329
Bere Ferrers,South West,Great Western Railway,BFE,14614,2296,8766,3552,0,2330
Llanbedr,Wales,TfW Rail,LBR,14612,6866,6746,1000,0,2331
Foxfield,North West,Northern Trains,FOX,14572,2544,10416,1612,0,2332
Beltring,South East,Southeastern,BEG,14532,6432,5366,2734,0,2333
Brampton (Suffolk),East of England,Greater Anglia,BRP,14508,3678,8248,2582,0,2334
Betchworth,South East,Great Western Railway,BTO,14482,4630,9364,488,0,2335
Salhouse,East of England,Greater Anglia,SAH,14372,3182,10212,978,0,2336
Rhosneigr,Wales,TfW Rail,RHO,14042,6452,6362,1228,0,2337
Bootle (Cumbria),North West,Northern Trains,BOC,13844,3512,8354,1978,0,2338
Radcliffe (Nottinghamshire),East Midlands,East Midlands Railway,RDF,13844,6086,6798,960,0,2338
Llandovery,Wales,TfW Rail,LLV,13702,8242,5460,0,0,2340
Dalmally,Scotland,ScotRail,DAL,13690,2572,1594,9524,0,2341
Strines,North West,Northern Trains,SRN,13686,3032,7572,3082,0,2342
Great Ayton,Yorkshire and The Humber,Northern Trains,GTA,13508,1434,12050,24,0,2343
Morfa Mawddach,Wales,TfW Rail,MFA,13508,5806,7002,700,0,2343
Burton Joyce,East Midlands,East Midlands Railway,BUJ,13392,7892,4398,1102,0,2345
Hapton,North West,Northern Trains,HPN,13360,4234,7336,1790,0,2346
Armathwaite,North West,Northern Trains,AWT,13282,1080,10462,1740,0,2347
Brithdir,Wales,TfW Rail,BHD,13052,9044,392,3616,0,2348
Ince (Manchester),North West,Northern Trains,INC,12836,3372,7994,1470,0,2349
Heysham Port,North West,Northern Trains,HHB,12764,572,12192,0,0,2350
Parton,North West,Northern Trains,PRN,12556,3406,7244,1906,0,2351
Helensburgh Upper,Scotland,ScotRail,HLU,12520,3968,7264,1288,9926,2352
Somerleyton,East of England,Greater Anglia,SYT,11958,2890,8576,492,0,2353
St Budeaux Victoria Road,South West,Great Western Railway,SBV,11864,2964,5860,3040,0,2354
Conon Bridge,Scotland,ScotRail,CBD,11716,9446,1634,636,0,2355
Snowdown,South East,Southeastern,SWO,11674,3474,4830,3370,0,2356
Saundersfoot,Wales,TfW Rail,SDF,11452,3094,8318,40,0,2357
Wrenbury,North West,TfW Rail,WRE,11238,4928,5446,864,0,2358
Goxhill,Yorkshire and The Humber,East Midlands Railway,GOX,10864,3234,7460,170,0,2359
Whitwell (Derbyshire),East Midlands,East Midlands Railway,WWL,10686,5150,3890,1646,0,2360
Plockton,Scotland,ScotRail,PLK,10396,7996,2174,226,0,2361
Dove Holes,East Midlands,Northern Trains,DVH,10384,1680,7768,936,0,2362
New Holland,Yorkshire and The Humber,East Midlands Railway,NHL,10354,3652,5794,908,0,2363
Hawarden Bridge,Wales,TfW Rail,HWB,10230,7638,1690,902,0,2364
Egton,Yorkshire and The Humber,Northern Trains,EGT,10100,452,5342,4306,0,2365
Bardon Mill,North East,Northern Trains,BLL,10046,1416,8614,16,0,2366
Netherfield,East Midlands,East Midlands Railway,NET,10000,4834,2850,2316,0,2367
Manorbier,Wales,TfW Rail,MRB,9896,3620,6276,0,0,2368
Langwith-Whaley Thorns,East Midlands,East Midlands Railway,LAG,9816,5388,3114,1314,0,2369
Kempston Hardwick,East of England,West Midlands Trains (London Northwestern Railway),KMH,9782,5422,2734,1626,0,2370
Pleasington,North West,Northern Trains,PLS,9764,2132,7234,398,0,2371
Warnham,South East,Govia Thameslink Railway (Southern),WNH,9706,3842,3728,2136,0,2372
Clapham (North Yorkshire),Yorkshire and The Humber,Northern Trains,CPY,9690,2368,7290,32,0,2373
Fishguard Harbour,Wales,TfW Rail,FGH,9606,1112,8494,0,0,2374
Dent,North West,Northern Trains,DNT,9598,1118,8480,0,0,2375
Faygate,South East,Govia Thameslink Railway (Southern),FGT,9478,5176,1334,2968,0,2376
Prees,West Midlands,TfW Rail,PRS,9328,2276,3842,3210,0,2377
Millbrook (Bedfordshire),East of England,West Midlands Trains (London Northwestern Railway),MLB,9282,4918,3402,962,0,2378
Appleford,South East,Great Western Railway,APF,9074,3316,4046,1712,0,2379
Johnston (Pembs),Wales,TfW Rail,JOH,9062,3676,5354,32,0,2380
Smallbrook Junction,South East,South Western Railway (Island Line),SAB,8978,932,8046,0,0,2381
Penally,Wales,TfW Rail,PNA,8964,2940,6024,0,0,2382
Little Kimble,South East,Chiltern Railways,LTK,8926,5184,2330,1412,0,2383
Penychain,Wales,TfW Rail,PNC,8892,3852,5040,0,0,2384
Ashley,North West,Northern Trains,ASY,8648,2946,5006,696,0,2385
Llandybie,Wales,TfW Rail,LLI,8604,4524,3958,122,0,2386
Yorton,West Midlands,TfW Rail,YRT,8554,4738,3670,146,0,2387
Cefn-Y-Bedd,Wales,TfW Rail,CYB,8550,7058,982,510,0,2388
Danby,Yorkshire and The Humber,Northern Trains,DNY,8520,484,6436,1600,0,2389
Lapford,South West,Great Western Railway,LAP,8488,3624,1666,3198,0,2390
Newtonmore,Scotland,ScotRail,NWR,8454,5456,2978,20,0,2391
Aspley Guise,East of England,West Midlands Trains (London Northwestern Railway),APG,8300,4054,2692,1554,0,2392
Ty Croes,Wales,TfW Rail,TYC,8244,3172,2988,2084,0,2393
Penhelig,Wales,TfW Rail,PHG,8192,3910,4272,10,0,2394
Bridge Of Orchy,Scotland,ScotRail,BRO,7958,5538,2420,0,0,2395
Claverdon,West Midlands,West Midlands Trains (West Midlands Railway),CLV,7820,2848,1536,3436,0,2396
Rannoch,Scotland,ScotRail,RAN,7802,6072,1730,0,0,2397
Clarbeston Road,Wales,TfW Rail,CLR,7670,2270,5400,0,0,2398
White Notley,East of England,Greater Anglia,WNY,7660,2968,3212,1480,0,2399
Newton St Cyres,South West,Great Western Railway,NTC,7648,5488,1574,586,0,2400
Silecroft,North West,Northern Trains,SIC,7644,1238,5806,600,0,2401
Bleasby,East Midlands,East Midlands Railway,BSB,7552,6114,1076,362,0,2402
Spean Bridge,Scotland,ScotRail,SBR,7516,5518,1998,0,0,2403
Green Road,North West,Northern Trains,GNR,7480,1668,4060,1752,0,2404
Bodorgan,Wales,TfW Rail,BOR,7414,3254,3426,734,0,2405
Swale,South East,Southeastern,SWL,7300,3438,1912,1950,0,2406
Glan Conwy,Wales,TfW Rail,GCW,7148,3140,3360,648,0,2407
Yetminster,South West,Great Western Railway,YET,7088,2460,4528,100,0,2408
Drigg,North West,Northern Trains,DRI,7076,1610,4020,1446,0,2409
Carrbridge,Scotland,ScotRail,CAG,7020,4780,2240,0,0,2410
Lealholm,Yorkshire and The Humber,Northern Trains,LHM,6868,234,3370,3264,0,2411
Sleights,Yorkshire and The Humber,Northern Trains,SLH,6848,638,6210,0,0,2412
Banavie,Scotland,ScotRail,BNV,6796,4342,2454,0,0,2413
Healing,Yorkshire and The Humber,East Midlands Railway,HLI,6680,2930,3644,106,0,2414
Castleton Moor,Yorkshire and The Humber,Northern Trains,CSM,6668,840,5818,10,0,2415
Wennington,North West,Northern Trains,WNN,6632,830,5554,248,0,2416
Strathcarron,Scotland,ScotRail,STC,6620,4550,1998,72,0,2417
Bugle,South West,Great Western Railway,BGL,6528,1146,5020,362,0,2418
Kings Nympton,South West,Great Western Railway,KGN,6498,992,1978,3528,0,2419
Pontarddulais,Wales,TfW Rail,PTD,6412,2606,3692,114,0,2420
Dolwyddelan,Wales,TfW Rail,DWD,6412,2938,3382,92,0,2420
Great Coates,Yorkshire and The Humber,East Midlands Railway,GCT,6340,3180,2836,324,0,2422
Menheniot,South West,Great Western Railway,MEN,6232,1660,3174,1398,0,2423
Danzey,West Midlands,West Midlands Trains (West Midlands Railway),DZY,6170,3206,2824,140,0,2424
Loch Awe,Scotland,ScotRail,LHA,6166,3766,1266,1134,0,2425
Stallingborough,Yorkshire and The Humber,East Midlands Railway,SLL,6166,2248,3878,40,0,2425
Llandanwg,Wales,TfW Rail,LDN,6086,3248,2620,218,0,2427
Tyndrum Lower,Scotland,ScotRail,TYL,5986,4584,1160,242,0,2428
Breich,Scotland,ScotRail,BRC,5924,3282,2570,72,0,2429
Lamphey,Wales,TfW Rail,LAM,5862,2206,3656,0,0,2430
Pevensey Bay,South East,Govia Thameslink Railway (Southern),PEB,5848,780,1250,3818,0,2431
Brora,Scotland,ScotRail,BRA,5836,4570,1162,104,0,2432
Upper Tyndrum,Scotland,ScotRail,UTY,5760,4018,1504,238,2,2433
Ardgay,Scotland,ScotRail,ARD,5734,4434,850,450,0,2434
Builth Road,Wales,TfW Rail,BHR,5582,3098,2474,10,0,2435
Arisaig,Scotland,ScotRail,ARG,5572,4052,1520,0,0,2436
Ancaster,East Midlands,East Midlands Railway,ANC,5532,3668,1138,726,0,2437
Golspie,Scotland,ScotRail,GOL,5352,4320,938,94,0,2438
Llanwrtyd,Wales,TfW Rail,LNW,5300,2924,2376,0,0,2439
Loch Eil Outward Bound,Scotland,ScotRail,LHE,5294,4510,784,0,0,2440
Peartree,East Midlands,East Midlands Railway,PEA,5256,4274,406,576,0,2441
Roche,South West,Great Western Railway,ROC,5230,1396,3526,308,0,2442
Gilfach Fargoed,Wales,TfW Rail,GFF,5142,4018,296,828,0,2443
Rauceby,East Midlands,East Midlands Railway,RAU,5004,2276,284,2444,0,2444
Talsarnau,Wales,TfW Rail,TAL,4988,2976,2012,0,0,2445
Pantyffynnon,Wales,TfW Rail,PTF,4910,2198,2702,10,0,2446
Moss Side,North West,Northern Trains,MOS,4778,1162,3616,0,0,2447
Rolleston,East Midlands,East Midlands Railway,ROL,4602,3324,778,500,0,2448
St Budeaux Ferry Road,South West,Great Western Railway,SBF,4484,1056,2682,746,0,2449
Ulceby,Yorkshire and The Humber,East Midlands Railway,ULC,4480,1882,2598,0,0,2450
North Llanrwst,Wales,TfW Rail,NLR,4392,2230,2142,20,0,2451
Llangennech,Wales,TfW Rail,LLH,4322,1988,2314,20,0,2452
Morar,Scotland,ScotRail,MRR,4290,2972,1318,0,0,2453
Helmsdale,Scotland,ScotRail,HMS,4242,2980,1178,84,0,2454
Knucklas,Wales,TfW Rail,KNU,4156,2614,1542,0,0,2455
Ruswarp,Yorkshire and The Humber,Northern Trains,RUS,4112,310,3782,20,0,2456
Ardlui,Scotland,ScotRail,AUI,4050,3172,878,0,0,2457
Llangadog,Wales,TfW Rail,LLG,4016,2532,1484,0,0,2458
Ffairfach,Wales,TfW Rail,FFA,3992,2546,1446,0,0,2459
Lairg,Scotland,ScotRail,LRG,3978,2848,1130,0,0,2460
Garve,Scotland,ScotRail,GVE,3964,1730,1294,940,0,2461
Shipton,South East,Great Western Railway,SIP,3904,1204,1878,822,0,2462
Barrhill,Scotland,ScotRail,BRL,3878,1538,2286,54,0,2463
Bucknell,West Midlands,TfW Rail,BUK,3858,2034,1340,484,0,2464
Llanaber,Wales,TfW Rail,LLA,3844,1842,1982,20,0,2465
Althorpe,Yorkshire and The Humber,Northern Trains,ALP,3816,1590,2178,48,0,2466
Fearn,Scotland,ScotRail,FRN,3780,2880,508,392,0,2467
Corpach,Scotland,ScotRail,CPA,3776,2608,1136,32,0,2468
Grimsby Docks,Yorkshire and The Humber,East Midlands Railway,GMD,3676,1426,1380,870,0,2469
Dolgarrog,Wales,TfW Rail,DLG,3588,1912,1656,20,0,2470
Abererch,Wales,TfW Rail,ABH,3552,1744,1808,0,0,2471
New Clee,Yorkshire and The Humber,East Midlands Railway,NCE,3550,960,984,1606,0,2472
St Columb Road,South West,Great Western Railway,SCR,3542,920,2572,50,0,2473
Quintrell Downs,South West,Great Western Railway,QUI,3514,950,2564,0,0,2474
Eastrington,Yorkshire and The Humber,Northern Trains,EGN,3378,0,3378,0,0,2475
Dalwhinnie,Scotland,ScotRail,DLW,3356,2300,1056,0,0,2476
Achnasheen,Scotland,ScotRail,ACN,3340,2128,1120,92,0,2477
Roy Bridge,Scotland,ScotRail,RYB,3332,2486,846,0,0,2478
Thurgarton,East Midlands,East Midlands Railway,THU,3204,2320,202,682,0,2479
Luxulyan,South West,Great Western Railway,LUX,3196,1044,2152,0,0,2480
Tal-y-Cafn,Wales,TfW Rail,TLC,2972,1920,1052,0,0,2481
Bynea,Wales,TfW Rail,BYE,2716,958,1752,6,0,2482
Widdrington,North East,Northern Trains,WDD,2652,1282,1210,160,0,2483
Chetnole,South West,Great Western Railway,CNO,2638,1064,1574,0,0,2484
Bearley,West Midlands,West Midlands Trains (West Midlands Railway),BER,2552,1466,974,112,0,2485
Ynyswen,Wales,TfW Rail,YNW,2538,1034,36,1468,0,2486
Battersby,Yorkshire and The Humber,Northern Trains,BTT,2524,102,2422,0,0,2487
Tonfanau,Wales,TfW Rail,TNF,2490,1060,1420,10,0,2488
Bescar Lane,North West,Northern Trains,BES,2442,1016,1394,32,0,2489
Lochailort,Scotland,ScotRail,LCL,2438,1716,722,0,0,2490
Gainsborough Central,East Midlands,Northern Trains,GNB,2372,814,1476,82,57,2491
Thornford,South West,Great Western Railway,THO,2312,502,1810,0,0,2492
Tulloch,Scotland,ScotRail,TUL,2252,1864,388,0,0,2493
Hopton Heath,West Midlands,TfW Rail,HPT,2230,900,840,490,0,2494
Llangammarch,Wales,TfW Rail,LLM,2156,1412,744,0,0,2495
New Lane,North West,Northern Trains,NLN,2140,692,1438,10,0,2496
Commondale,Yorkshire and The Humber,Northern Trains,COM,2120,176,1944,0,0,2497
Causeland,South West,Great Western Railway,CAU,2108,484,1572,52,0,2498
Georgemas Junction,Scotland,ScotRail,GGJ,1992,1286,706,0,0,2499
Falls Of Cruachan,Scotland,ScotRail,FOC,1782,1596,186,0,0,2500
Harling Road,East of England,Greater Anglia,HRD,1768,850,280,638,0,2501
Balmossie,Scotland,ScotRail,BSI,1708,1226,482,0,0,2502
Doleham,South East,Govia Thameslink Railway (Southern),DLH,1706,314,112,1280,0,2503
Broome,West Midlands,TfW Rail,BME,1682,934,748,0,0,2504
Kildale,Yorkshire and The Humber,Northern Trains,KLD,1672,82,1590,0,0,2505
Brigg,Yorkshire and The Humber,Northern Trains,BGG,1636,150,1486,0,0,2506
Pensarn (Gwynedd),Wales,TfW Rail,PES,1636,758,878,0,0,2506
Salwick,North West,Northern Trains,SLW,1624,824,302,498,0,2508
St Keyne Wishing Well Halt,South West,Great Western Railway,SKN,1586,1350,226,10,0,2509
Chathill,North East,Northern Trains,CHT,1580,616,788,176,0,2510
Saltmarshe,Yorkshire and The Humber,Northern Trains,SAM,1566,86,1480,0,0,2511
Forsinard,Scotland,ScotRail,FRS,1562,1018,544,0,0,2512
Dunrobin Castle,Scotland,ScotRail,DNO,1544,1116,428,0,0,2513
Eccles Road,East of England,Greater Anglia,ECS,1534,602,190,742,0,2514
Braystones,North West,Northern Trains,BYS,1472,118,1354,0,0,2515
Pegswood,North East,Northern Trains,PEG,1468,746,712,10,0,2516
Springfield,Scotland,ScotRail,SPF,1438,1104,334,0,0,2517
Nethertown,North West,Northern Trains,NRT,1334,128,1206,0,0,2518
Combe (Oxon),South East,Great Western Railway,CME,1326,858,174,294,0,2519
Broomfleet,Yorkshire and The Humber,Northern Trains,BMF,1300,140,1110,50,0,2520
Golf Street,Scotland,ScotRail,GOF,1292,808,280,204,0,2521
Ascott-Under-Wychwood,South East,Great Western Railway,AUW,1282,796,114,372,0,2522
Pen-Y-Bont (Mid Wales),Wales,TfW Rail,PNY,1264,682,582,0,0,2523
Snaith,Yorkshire and The Humber,Northern Trains,SNI,1254,1142,112,0,0,2524
Swineshead,East Midlands,East Midlands Railway,SWE,1232,470,224,538,0,2525
Llandecwyn,Wales,TfW Rail,LLC,1226,576,650,0,0,2526
Sankey For Penketh,North West,Northern Trains,SNK,1204,946,120,138,0,2527
Barrow Haven,Yorkshire and The Humber,East Midlands Railway,BAV,1194,452,742,0,0,2528
Cynghordy,Wales,TfW Rail,CYN,1188,802,386,0,0,2529
Llanwrda,Wales,TfW Rail,LNR,1186,730,456,0,0,2530
Finstock,South East,Great Western Railway,FIN,1136,970,126,40,0,2531
Stromeferry,Scotland,ScotRail,STF,1132,804,328,0,0,2532
Garth (Powys),Wales,TfW Rail,GTH,1118,362,756,0,0,2533
