station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Egham,South East,South Western Railway,EGH,1851978,501524,1152566,197888,0,306
Harlow Town,East of England,Greater Anglia,HWN,1847334,746042,770618,330674,0,307
Wickford,East of England,Greater Anglia,WIC,1838264,760142,566502,511620,406901,308
Streatham Hill,London,Govia Thameslink Railway (Southern),SRH,1824266,603364,862174,358728,0,309
Chesterfield,East Midlands,East Midlands Railway,CHD,1820668,309526,1411760,99382,175215,310
Halifax,Yorkshire and The Humber,Northern Trains,HFX,1803018,588472,1021412,193134,55050,311
Broxbourne,East of England,Greater Anglia,BXB,1797220,702424,931084,163712,343497,312
Letchworth Garden City,East of England,Govia Thameslink Railway (Great Northern),LET,1779634,688734,806492,284408,0,313
Bracknell,South East,South Western Railway,BCE,1775202,581448,960438,233316,19538,314
Exhibition Centre (Glasgow),Scotland,ScotRail,EXG,1772544,564854,969590,238100,0,315
Ebbsfleet International,South East,HS1 Ltd,EBD,1765258,565776,922242,277240,87338,316
Gloucester,South West,Great Western Railway,GCR,1763556,475318,1221614,66624,153970,317
Dundee,Scotland,ScotRail,DEE,1763546,609640,1087272,66634,79138,318
Eltham,London,Southeastern,ELW,1758352,637982,850082,270288,0,319
Twyford,South East,Great Western Railway,TWY,1754790,644844,879820,230126,772325,320
Fareham,South East,South Western Railway,FRM,1740046,469566,1049346,221134,148293,321
Rotherhithe,London,London Overground,ROE,1739436,483522,1031258,224656,0,322
Maidstone East,South East,Southeastern,MDE,1727430,466182,786370,474878,28955,323
Burnham (Buckinghamshire),South East,Elizabeth line,BNM,1725890,570100,857554,298236,0,324
Deansgate,North West,Northern Trains,DGT,1719378,350210,1212364,156804,0,325
Teddington,London,South Western Railway,TED,1717082,640688,913082,163312,94434,326
Chippenham,South West,Great Western Railway,CPM,1713674,332034,1230612,151028,26498,327
Windsor and Eton Central,South East,Great Western Railway,WNC,1708274,365388,1182986,159900,26094,328
Petts Wood,London,Southeastern,PET,1707602,701694,765726,240182,0,329
